,condition,prob
83,noURL_1,0.0
84,noURL_1,0.0
85,noURL_1,0.05
86,noURL_1,0.0
87,noURL_1,0.05
88,noURL_1,0.0
89,noURL_1,0.05
90,noURL_1,0.0
91,noURL_1,0.1
92,noURL_1,0.05
93,noURL_1,0.05
94,noURL_1,0.05
95,noURL_1,0.05
96,noURL_1,0.05
97,noURL_1,0.05
98,noURL_1,0.0
99,noURL_1,0.05
100,noURL_1,0.05
101,noURL_1,0.05
102,noURL_1,0.05
103,noURL_1,0.05
104,noURL_1,0.05
105,noURL_1,0.05
106,noURL_1,0.05
107,noURL_1,0.05
108,noURL_1,0.05
109,noURL_1,0.05
110,noURL_1,0.05
111,noURL_1,0.05
112,noURL_1,0.05
113,noURL_1,0.05
114,noURL_1,0.05
115,noURL_1,0.05
116,noURL_1,0.05
117,noURL_1,0.05
118,noURL_1,0.05
119,noURL_1,0.05
120,noURL_1,0.75
121,noURL_1,0.05
122,noURL_1,0.1
123,noURL_1,0.05
124,noURL_1,0.05
125,noURL_1,0.05
126,noURL_1,0.05
127,noURL_1,0.05
128,noURL_1,0.05
129,noURL_1,0.05
130,noURL_1,0.05
131,noURL_1,0.05
132,noURL_1,0.05
133,noURL_1,0.05
134,noURL_1,0.05
135,noURL_1,0.05
136,noURL_1,0.05
137,noURL_1,0.05
138,noURL_1,0.05
139,noURL_1,0.1
140,noURL_1,0.1
141,noURL_1,0.05
142,noURL_1,0.05
143,noURL_1,0.05
144,noURL_1,0.05
145,noURL_1,0.05
146,noURL_1,0.05
147,noURL_1,0.05
148,noURL_1,0.1
149,noURL_1,0.05
150,noURL_1,0.05
151,noURL_1,0.05
152,noURL_1,0.05
153,noURL_1,0.05
154,noURL_1,0.05
155,noURL_1,0.1
156,noURL_1,0.1
157,noURL_1,0.1
158,noURL_1,0.1
159,noURL_1,0.1
160,noURL_1,0.1
161,noURL_1,0.05
162,noURL_1,0.05
163,noURL_1,0.1
164,noURL_1,0.05
165,noURL_1,0.05
166,noURL_1,0.1
167,noURL_1,0.1
168,noURL_1,0.05
169,noURL_1,0.1
170,noURL_1,0.1
171,noURL_1,0.05
172,noURL_1,0.05
173,noURL_1,0.05
174,noURL_1,0.05
175,noURL_1,0.05
176,noURL_1,0.1
177,noURL_1,0.1
178,noURL_1,0.1
179,noURL_1,0.1
180,noURL_1,0.1
181,noURL_1,0.05
182,noURL_1,0.05
183,noURL_1,0.1
184,noURL_1,0.05
185,noURL_1,0.05
186,noURL_1,0.1
187,noURL_1,0.1
188,noURL_1,0.1
189,noURL_1,0.05
190,noURL_1,0.05
191,noURL_1,0.85
192,noURL_1,0.1
193,noURL_1,0.05
194,noURL_1,0.05
195,noURL_1,0.05
196,noURL_1,0.05
197,noURL_1,0.05
198,noURL_1,0.05
199,noURL_1,0.05
200,noURL_1,0.05
201,noURL_1,0.05
202,noURL_1,0.05
203,noURL_1,0.05
204,noURL_1,0.05
205,noURL_1,0.05
206,noURL_1,0.05
207,noURL_1,0.05
208,noURL_1,0.05
209,noURL_1,0.05
210,noURL_1,0.05
211,noURL_1,0.0
212,noURL_1,0.05
213,noURL_1,0.05
214,noURL_1,0.05
215,noURL_1,0.05
216,noURL_1,0.05
217,noURL_1,0.05
218,noURL_1,0.05
219,noURL_1,0.05
220,noURL_1,0.1
221,noURL_1,0.05
222,noURL_1,0.05
223,noURL_1,0.05
224,noURL_1,0.05
225,noURL_1,0.05
226,noURL_1,0.05
227,noURL_1,0.05
228,noURL_1,0.05
229,noURL_1,0.05
230,noURL_1,0.05
231,noURL_1,0.85
232,noURL_1,0.05
233,noURL_1,0.05
234,noURL_1,0.1
235,noURL_1,0.1
236,noURL_1,0.05
237,noURL_1,0.05
238,noURL_1,0.85
239,noURL_1,0.05
240,noURL_1,0.05
241,noURL_1,0.1
242,noURL_1,0.1
243,noURL_1,0.85
244,noURL_1,0.1
245,noURL_1,0.1
246,noURL_1,0.1
247,noURL_1,0.1
248,noURL_1,0.05
249,noURL_1,0.1
250,noURL_1,0.1
251,noURL_1,0.1
252,noURL_1,0.1
253,noURL_1,0.1
254,noURL_1,0.1
255,noURL_1,0.1
256,noURL_1,0.1
257,noURL_1,0.1
258,noURL_1,0.85
259,noURL_1,0.1
260,noURL_1,0.1
261,noURL_1,0.85
262,noURL_1,0.1
263,noURL_1,0.1
264,noURL_1,0.1
265,noURL_1,0.1
266,noURL_1,0.1
267,noURL_1,0.1
268,noURL_1,0.1
269,noURL_1,0.1
270,noURL_1,0.1
271,noURL_1,0.1
272,noURL_1,0.1
273,noURL_1,0.1
274,noURL_1,0.1
275,noURL_1,0.1
276,noURL_1,0.1
277,noURL_1,0.1
278,noURL_1,0.1
279,noURL_1,0.1
280,noURL_1,0.1
281,noURL_1,0.9
282,noURL_1,0.1
283,noURL_1,0.85
284,noURL_1,0.1
285,noURL_1,0.1
286,noURL_1,0.1
287,noURL_1,0.1
288,noURL_1,0.1
289,noURL_1,0.1
290,noURL_1,0.1
291,noURL_1,0.1
292,noURL_1,0.1
293,noURL_1,0.1
294,noURL_1,0.1
295,noURL_1,0.1
296,noURL_1,0.05
297,noURL_1,0.05
298,noURL_1,0.05
299,noURL_1,0.05
300,noURL_1,0.05
301,noURL_1,0.05
302,noURL_1,0.05
303,noURL_1,0.05
304,noURL_1,0.05
305,noURL_1,0.05
306,noURL_1,0.05
307,noURL_1,0.1
308,noURL_1,0.05
309,noURL_1,0.05
310,noURL_1,0.0
311,noURL_1,0.05
312,noURL_1,0.05
313,noURL_1,0.05
314,noURL_1,0.0
315,noURL_1,0.05
316,noURL_1,0.05
317,noURL_1,0.05
318,noURL_1,0.05
319,noURL_1,0.05
320,noURL_1,0.05
321,noURL_1,0.05
322,noURL_1,0.05
323,noURL_1,0.05
324,noURL_1,0.05
325,noURL_1,0.05
326,noURL_1,0.05
327,noURL_1,0.05
328,noURL_1,0.1
329,noURL_1,0.1
330,noURL_1,0.1
331,noURL_1,0.1
332,noURL_1,0.1
333,noURL_1,0.05
334,noURL_1,0.05
335,noURL_1,0.05
336,noURL_1,0.05
337,noURL_1,0.05
338,noURL_1,0.05
339,noURL_1,0.05
340,noURL_1,0.05
341,noURL_1,0.05
342,noURL_1,0.05
343,noURL_1,0.05
344,noURL_1,0.0
345,noURL_1,0.05
346,noURL_1,0.05
347,noURL_1,0.05
348,noURL_1,0.05
349,noURL_1,0.05
350,noURL_1,0.05
351,noURL_1,0.05
352,noURL_1,0.85
353,noURL_1,0.05
354,noURL_1,0.05
355,noURL_1,0.05
356,noURL_1,0.05
357,noURL_1,0.05
358,noURL_1,0.05
359,noURL_1,0.05
360,noURL_1,0.1
361,noURL_1,0.05
362,noURL_1,0.05
363,noURL_1,0.05
364,noURL_1,0.05
365,noURL_1,0.05
366,noURL_1,0.05
367,noURL_1,0.05
368,noURL_1,0.05
369,noURL_1,0.05
370,noURL_1,0.05
371,noURL_1,0.05
372,noURL_1,0.05
373,noURL_1,0.0
374,noURL_1,0.0
375,noURL_1,0.05
376,noURL_1,0.05
377,noURL_1,0.05
378,noURL_1,0.05
379,noURL_1,0.2
380,noURL_1,0.1
381,noURL_1,0.05
382,noURL_1,0.0
383,noURL_1,0.05
384,noURL_1,0.05
385,noURL_1,0.05
386,noURL_1,0.05
387,noURL_1,0.05
388,noURL_1,0.05
389,noURL_1,0.05
390,noURL_1,0.05
391,noURL_1,0.05
392,noURL_1,0.05
393,noURL_1,0.05
394,noURL_1,0.05
395,noURL_1,0.05
396,noURL_1,0.0
397,noURL_1,0.05
398,noURL_1,0.05
399,noURL_1,0.05
400,noURL_1,0.05
401,noURL_1,0.05
402,noURL_1,0.05
403,noURL_1,0.05
404,noURL_1,0.05
405,noURL_1,0.1
406,noURL_1,0.05
407,noURL_1,0.05
408,noURL_1,0.05
409,noURL_1,0.05
410,noURL_1,0.05
411,noURL_1,0.05
412,noURL_1,0.05
413,noURL_1,0.05
414,noURL_1,0.05
415,noURL_1,0.05
416,noURL_1,0.05
417,noURL_1,0.05
418,noURL_1,0.05
419,noURL_1,0.05
420,noURL_1,0.05
421,noURL_1,0.05
422,noURL_1,0.05
423,noURL_1,0.1
424,noURL_1,0.1
425,noURL_1,0.1
426,noURL_1,0.05
427,noURL_1,0.05
428,noURL_1,0.05
429,noURL_1,0.05
430,noURL_1,0.1
431,noURL_1,0.05
432,noURL_1,0.1
433,noURL_1,0.05
434,noURL_1,0.05
435,noURL_1,0.05
436,noURL_1,0.05
437,noURL_1,0.05
438,noURL_1,0.05
439,noURL_1,0.05
440,noURL_1,0.05
441,noURL_1,0.05
442,noURL_1,0.05
443,noURL_1,0.05
444,noURL_1,0.05
445,noURL_1,0.05
446,noURL_1,0.05
447,noURL_1,0.05
448,noURL_1,0.05
449,noURL_1,0.85
450,noURL_1,0.05
451,noURL_1,0.05
452,noURL_1,0.05
453,noURL_1,0.05
454,noURL_1,0.05
455,noURL_1,0.05
456,noURL_1,0.05
457,noURL_1,0.0
458,noURL_1,0.05
459,noURL_1,0.05
460,noURL_1,0.05
461,noURL_1,0.05
462,noURL_1,0.05
463,noURL_1,0.05
464,noURL_1,0.05
465,noURL_1,0.05
466,noURL_1,0.05
467,noURL_1,0.05
468,noURL_1,0.0
469,noURL_1,0.05
470,noURL_1,0.05
471,noURL_1,0.1
472,noURL_1,0.05
473,noURL_1,0.05
474,noURL_1,0.05
475,noURL_1,0.05
476,noURL_1,0.05
477,noURL_1,0.0
478,noURL_1,0.05
479,noURL_1,0.05
480,noURL_1,0.05
481,noURL_1,0.05
482,noURL_1,0.05
483,noURL_1,0.05
484,noURL_1,0.05
485,noURL_1,0.05
486,noURL_1,0.05
487,noURL_1,0.1
488,noURL_1,0.05
489,noURL_1,0.1
490,noURL_1,0.1
491,noURL_1,0.1
492,noURL_1,0.1
493,noURL_1,0.1
494,noURL_1,0.1
495,noURL_1,0.1
496,noURL_1,0.1
497,noURL_1,0.1
498,noURL_1,0.05
499,noURL_1,0.1
500,noURL_1,0.1
501,noURL_1,0.1
502,noURL_1,0.1
503,noURL_1,0.1
504,noURL_1,0.1
505,noURL_1,0.1
506,noURL_1,0.1
507,noURL_1,0.1
508,noURL_1,0.1
509,noURL_1,0.1
510,noURL_1,0.05
511,noURL_1,0.1
512,noURL_1,0.1
513,noURL_1,0.1
514,noURL_1,0.1
515,noURL_1,0.1
516,noURL_1,0.1
517,noURL_1,0.85
518,noURL_1,0.05
519,noURL_1,0.1
520,noURL_1,0.05
521,noURL_1,0.05
522,noURL_1,0.05
523,noURL_1,0.1
524,noURL_1,0.05
525,noURL_1,0.1
526,noURL_1,0.1
527,noURL_1,0.1
528,noURL_1,0.1
529,noURL_1,0.05
530,noURL_1,0.1
531,noURL_1,0.05
532,noURL_1,0.05
533,noURL_1,0.05
534,noURL_1,0.05
535,noURL_1,0.05
536,noURL_1,0.1
537,noURL_1,0.1
538,noURL_1,0.85
539,noURL_1,0.1
540,noURL_1,0.1
541,noURL_1,0.1
542,noURL_1,0.85
543,noURL_1,0.1
544,noURL_1,0.1
545,noURL_1,0.1
546,noURL_1,0.1
547,noURL_1,0.1
548,noURL_1,0.1
549,noURL_1,0.1
550,noURL_1,0.1
551,noURL_1,0.1
552,noURL_1,0.1
553,noURL_1,0.05
554,noURL_1,0.05
555,noURL_1,0.1
556,noURL_1,0.05
557,noURL_1,0.05
558,noURL_1,0.05
559,noURL_1,0.1
560,noURL_1,0.05
561,noURL_1,0.05
562,noURL_1,0.1
563,noURL_1,0.05
564,noURL_1,0.05
565,noURL_1,0.05
566,noURL_1,0.05
567,noURL_1,0.05
568,noURL_1,0.05
569,noURL_1,0.05
570,noURL_1,0.05
571,noURL_1,0.1
572,noURL_1,0.85
573,noURL_1,0.1
574,noURL_1,0.05
575,noURL_1,0.05
576,noURL_1,0.05
577,noURL_1,0.05
578,noURL_1,0.05
579,noURL_1,0.05
580,noURL_1,0.05
581,noURL_1,0.05
582,noURL_1,0.05
583,noURL_1,0.05
584,noURL_1,0.05
585,noURL_1,0.05
586,noURL_1,0.0
587,noURL_1,0.05
588,noURL_1,0.05
589,noURL_1,0.05
590,noURL_1,0.1
591,noURL_1,0.0
592,noURL_1,0.05
593,noURL_1,0.05
594,noURL_1,0.1
595,noURL_1,0.1
596,noURL_1,0.05
597,noURL_1,0.05
598,noURL_1,0.05
599,noURL_1,0.05
600,noURL_1,0.05
601,noURL_1,0.05
602,noURL_1,0.05
603,noURL_1,0.05
604,noURL_1,0.05
605,noURL_1,0.1
606,noURL_1,0.05
607,noURL_1,0.05
608,noURL_1,0.1
609,noURL_1,0.1
610,noURL_1,0.1
611,noURL_1,0.1
612,noURL_1,0.1
613,noURL_1,0.1
614,noURL_1,0.05
615,noURL_1,0.1
616,noURL_1,0.05
617,noURL_1,0.1
618,noURL_1,0.05
619,noURL_1,0.05
620,noURL_1,0.1
621,noURL_1,0.1
622,noURL_1,0.05
623,noURL_1,0.1
624,noURL_1,0.05
625,noURL_1,0.05
626,noURL_1,0.85
627,noURL_1,0.05
628,noURL_1,0.05
629,noURL_1,0.05
630,noURL_1,0.05
631,noURL_1,0.05
632,noURL_1,0.05
633,noURL_1,0.05
634,noURL_1,0.05
635,noURL_1,0.85
636,noURL_1,0.05
637,noURL_1,0.05
638,noURL_1,0.05
639,noURL_1,0.1
640,noURL_1,0.05
641,noURL_1,0.1
642,noURL_1,0.05
643,noURL_1,0.85
644,noURL_1,0.05
645,noURL_1,0.05
646,noURL_1,0.05
647,noURL_1,0.05
648,noURL_1,0.05
649,noURL_1,0.05
650,noURL_1,0.05
651,noURL_1,0.05
652,noURL_1,0.05
653,noURL_1,0.05
654,noURL_1,0.05
655,noURL_1,0.05
656,noURL_1,0.05
657,noURL_1,0.05
658,noURL_1,0.05
659,noURL_1,0.05
660,noURL_1,0.05
661,noURL_1,0.05
662,noURL_1,0.05
663,noURL_1,0.05
664,noURL_1,0.05
665,noURL_1,0.05
666,noURL_1,0.05
667,noURL_1,0.05
668,noURL_1,0.1
669,noURL_1,0.05
670,noURL_1,0.05
671,noURL_1,0.95
672,noURL_1,0.1
673,noURL_1,0.05
674,noURL_1,0.05
675,noURL_1,0.05
676,noURL_1,0.05
677,noURL_1,0.05
678,noURL_1,0.05
679,noURL_1,0.85
680,noURL_1,0.0
681,noURL_1,0.05
682,noURL_1,0.05
683,noURL_1,0.1
684,noURL_1,0.1
685,noURL_1,0.0
686,noURL_1,0.05
687,noURL_1,0.05
688,noURL_1,0.05
689,noURL_1,0.05
690,noURL_1,0.05
691,noURL_1,0.0
692,noURL_1,0.05
693,noURL_1,0.0
694,noURL_1,0.05
695,noURL_1,0.05
696,noURL_1,0.05
697,noURL_1,0.05
698,noURL_1,0.05
699,noURL_1,0.0
700,noURL_1,0.1
701,noURL_1,0.05
702,noURL_1,0.05
703,noURL_1,0.05
704,noURL_1,0.05
705,noURL_1,0.05
706,noURL_1,0.05
707,noURL_1,0.1
708,noURL_1,0.85
709,noURL_1,0.1
710,noURL_1,0.05
711,noURL_1,0.1
712,noURL_1,0.05
713,noURL_1,0.1
714,noURL_1,0.05
715,noURL_1,0.05
716,noURL_1,0.05
717,noURL_1,0.1
718,noURL_1,0.05
719,noURL_1,0.05
720,noURL_1,0.05
721,noURL_1,0.1
722,noURL_1,0.05
723,noURL_1,0.0
724,noURL_1,0.05
725,noURL_1,0.05
726,noURL_1,0.05
727,noURL_1,0.1
728,noURL_1,0.05
729,noURL_1,0.05
730,noURL_1,0.05
731,noURL_1,0.05
732,noURL_1,0.05
733,noURL_1,0.05
734,noURL_1,0.1
735,noURL_1,0.05
736,noURL_1,0.05
737,noURL_1,0.05
738,noURL_1,0.05
739,noURL_1,0.05
740,noURL_1,0.05
741,noURL_1,0.05
742,noURL_1,0.05
743,noURL_1,0.05
744,noURL_1,0.05
745,noURL_1,0.05
746,noURL_1,0.05
747,noURL_1,0.05
748,noURL_1,0.05
749,noURL_1,0.05
750,noURL_1,0.05
751,noURL_1,0.05
752,noURL_1,0.05
753,noURL_1,0.05
754,noURL_1,0.05
755,noURL_1,0.05
756,noURL_1,0.85
757,noURL_1,0.05
758,noURL_1,0.05
759,noURL_1,0.05
760,noURL_1,0.05
761,noURL_1,0.05
762,noURL_1,0.05
763,noURL_1,0.1
764,noURL_1,0.85
765,noURL_1,0.85
766,noURL_1,0.1
767,noURL_1,0.1
768,noURL_1,0.05
769,noURL_1,0.05
770,noURL_1,0.1
771,noURL_1,0.05
772,noURL_1,0.05
773,noURL_1,0.05
774,noURL_1,0.05
775,noURL_1,0.1
776,noURL_1,0.85
777,noURL_1,0.05
778,noURL_1,0.05
779,noURL_1,0.05
780,noURL_1,0.05
781,noURL_1,0.1
782,noURL_1,0.05
783,noURL_1,0.05
784,noURL_1,0.05
785,noURL_1,0.05
786,noURL_1,0.05
787,noURL_1,0.05
788,noURL_1,0.05
789,noURL_1,0.05
790,noURL_1,0.05
791,noURL_1,0.05
792,noURL_1,0.05
793,noURL_1,0.1
794,noURL_1,0.1
795,noURL_1,0.05
796,noURL_1,0.1
797,noURL_1,0.05
798,noURL_1,0.05
799,noURL_1,0.1
800,noURL_1,0.1
801,noURL_1,0.05
802,noURL_1,0.1
803,noURL_1,0.1
804,noURL_1,0.05
805,noURL_1,0.1
806,noURL_1,0.05
807,noURL_1,0.05
808,noURL_1,0.05
809,noURL_1,0.05
810,noURL_1,0.05
811,noURL_1,0.05
812,noURL_1,0.0
813,noURL_1,0.05
814,noURL_1,0.05
815,noURL_1,0.05
816,noURL_1,0.05
817,noURL_1,0.05
818,noURL_1,0.05
819,noURL_1,0.05
820,noURL_1,0.05
821,noURL_1,0.05
822,noURL_1,0.05
823,noURL_1,0.05
824,noURL_1,0.05
825,noURL_1,0.05
826,noURL_1,0.05
827,noURL_1,0.05
828,noURL_1,0.1
829,noURL_1,0.05
830,noURL_1,0.05
831,noURL_1,0.0
832,noURL_1,0.05
833,noURL_1,0.0
834,noURL_1,0.05
835,noURL_1,0.05
836,noURL_1,0.05
837,noURL_1,0.05
838,noURL_1,0.05
839,noURL_1,0.05
840,noURL_1,0.05
841,noURL_1,0.05
842,noURL_1,0.05
843,noURL_1,0.85
844,noURL_1,0.05
845,noURL_1,0.1
846,noURL_1,0.85
847,noURL_1,0.05
848,noURL_1,0.1
849,noURL_1,0.1
850,noURL_1,0.05
851,noURL_1,0.05
852,noURL_1,0.1
853,noURL_1,0.1
854,noURL_1,0.05
855,noURL_1,0.1
856,noURL_1,0.05
857,noURL_1,0.05
858,noURL_1,0.05
859,noURL_1,0.05
860,noURL_1,0.0
861,noURL_1,0.05
862,noURL_1,0.05
863,noURL_1,0.05
864,noURL_1,0.05
865,noURL_1,0.05
866,noURL_1,0.05
867,noURL_1,0.05
868,noURL_1,0.1
869,noURL_1,0.05
870,noURL_1,0.0
871,noURL_1,0.05
872,noURL_1,0.0
873,noURL_1,0.0
874,noURL_1,0.05
875,noURL_1,0.05
876,noURL_1,0.85
877,noURL_1,0.05
878,noURL_1,0.85
879,noURL_1,0.1
880,noURL_1,0.85
881,noURL_1,0.05
882,noURL_1,0.1
883,noURL_1,0.05
884,noURL_1,0.05
885,noURL_1,0.1
886,noURL_1,0.05
887,noURL_1,0.1
888,noURL_1,0.85
889,noURL_1,0.05
890,noURL_1,0.1
891,noURL_1,0.1
892,noURL_1,0.2
893,noURL_1,0.1
894,noURL_1,0.1
895,noURL_1,0.1
896,noURL_1,0.1
897,noURL_1,0.1
898,noURL_1,0.1
899,noURL_1,0.05
900,noURL_1,0.05
901,noURL_1,0.05
902,noURL_1,0.1
903,noURL_1,0.1
904,noURL_1,0.05
905,noURL_1,0.1
906,noURL_1,0.1
907,noURL_1,0.1
908,noURL_1,0.1
909,noURL_1,0.05
910,noURL_1,0.05
911,noURL_1,0.1
912,noURL_1,0.1
913,noURL_1,0.1
914,noURL_1,0.05
915,noURL_1,0.05
916,noURL_1,0.05
917,noURL_1,0.05
918,noURL_1,0.05
919,noURL_1,0.05
920,noURL_1,0.05
921,noURL_1,0.05
922,noURL_1,0.05
923,noURL_1,0.05
924,noURL_1,0.05
925,noURL_1,0.05
926,noURL_1,0.05
927,noURL_1,0.05
928,noURL_1,0.0
929,noURL_1,0.05
930,noURL_1,0.05
931,noURL_1,0.85
932,noURL_1,0.05
933,noURL_1,0.05
934,noURL_1,0.05
935,noURL_1,0.05
936,noURL_1,0.05
937,noURL_1,0.05
938,noURL_1,0.05
939,noURL_1,0.1
940,noURL_1,0.05
941,noURL_1,0.1
942,noURL_1,0.05
943,noURL_1,0.05
944,noURL_1,0.75
945,noURL_1,0.0
946,noURL_1,0.05
947,noURL_1,0.85
948,noURL_1,0.0
949,noURL_1,0.05
950,noURL_1,0.05
951,noURL_1,0.05
952,noURL_1,0.05
953,noURL_1,0.05
954,noURL_1,0.05
955,noURL_1,0.05
956,noURL_1,0.0
957,noURL_1,0.05
958,noURL_1,0.0
959,noURL_1,0.05
960,noURL_1,0.1
961,noURL_1,0.1
962,noURL_1,0.05
963,noURL_1,0.05
964,noURL_1,0.05
965,noURL_1,0.05
966,noURL_1,0.05
967,noURL_1,0.05
968,noURL_1,0.05
969,noURL_1,0.75
970,noURL_1,0.05
971,noURL_1,0.05
972,noURL_1,0.05
973,noURL_1,0.05
974,noURL_1,0.05
975,noURL_1,0.05
976,noURL_1,0.05
977,noURL_1,0.1
978,noURL_1,0.05
979,noURL_1,0.1
980,noURL_1,0.1
981,noURL_1,0.1
982,noURL_1,0.05
983,noURL_1,0.05
984,noURL_1,0.1
985,noURL_1,0.05
986,noURL_1,0.1
987,noURL_1,0.05
988,noURL_1,0.05
989,noURL_1,0.05
990,noURL_1,0.1
991,noURL_1,0.1
992,noURL_1,0.1
993,noURL_1,0.1
994,noURL_1,0.1
995,noURL_1,0.1
996,noURL_1,0.1
997,noURL_1,0.1
998,noURL_1,0.1
999,noURL_1,0.05
1000,noURL_1,0.1
1001,noURL_1,0.1
1002,noURL_1,0.05
1003,noURL_1,0.05
1004,noURL_1,0.05
1005,noURL_1,0.05
1006,noURL_1,0.05
1007,noURL_1,0.05
1008,noURL_1,0.05
1009,noURL_1,0.05
1010,noURL_1,0.05
1011,noURL_1,0.05
1012,noURL_1,0.05
1013,noURL_1,0.05
1014,noURL_1,0.05
1015,noURL_1,0.1
1016,noURL_1,0.1
1017,noURL_1,0.05
1018,noURL_1,0.1
1019,noURL_1,0.1
1020,noURL_1,0.1
1021,noURL_1,0.05
1022,noURL_1,0.05
1023,noURL_1,0.05
1024,noURL_1,0.05
1025,noURL_1,0.05
1026,noURL_1,0.1
1027,noURL_1,0.05
1028,noURL_1,0.05
1029,noURL_1,0.05
1030,noURL_1,0.05
1031,noURL_1,0.05
1032,noURL_1,0.05
1033,noURL_1,0.05
1034,noURL_1,0.05
1035,noURL_1,0.05
1036,noURL_1,0.05
1037,noURL_1,0.1
1038,noURL_1,0.1
1039,noURL_1,0.05
1040,noURL_1,0.05
1041,noURL_1,0.05
1042,noURL_1,0.05
1043,noURL_1,0.05
1044,noURL_1,0.05
1045,noURL_1,0.05
1046,noURL_1,0.05
1047,noURL_1,0.1
1048,noURL_1,0.05
1049,noURL_1,0.05
1050,noURL_1,0.05
1051,noURL_1,0.05
1052,noURL_1,0.1
1053,noURL_1,0.1
1054,noURL_1,0.05
1055,noURL_1,0.05
1056,noURL_1,0.0
1057,noURL_1,0.1
1058,noURL_1,0.05
1059,noURL_1,0.0
1060,noURL_1,0.0
1061,noURL_1,0.0
1062,noURL_1,0.05
1063,noURL_1,0.0
1064,noURL_1,0.05
1065,noURL_1,0.05
1066,noURL_1,0.05
1067,noURL_1,0.05
1068,noURL_1,0.05
1069,noURL_1,0.05
1070,noURL_1,0.05
1071,noURL_1,0.1
1072,noURL_1,0.1
1073,noURL_1,0.05
1074,noURL_1,0.1
1075,noURL_1,0.05
1076,noURL_1,0.85
1077,noURL_1,0.05
1078,noURL_1,0.1
1079,noURL_1,0.1
1080,noURL_1,0.1
1081,noURL_1,0.05
1082,noURL_1,0.1
1083,noURL_1,0.1
1084,noURL_1,0.1
1085,noURL_1,0.1
1086,noURL_1,0.1
1087,noURL_1,0.1
1088,noURL_1,0.05
1089,noURL_1,0.85
1090,noURL_1,0.05
1091,noURL_1,0.0
1092,noURL_1,0.05
1093,noURL_1,0.05
1094,noURL_1,0.05
1095,noURL_1,0.05
1096,noURL_1,0.05
1097,noURL_1,0.05
1098,noURL_1,0.05
1099,noURL_1,0.05
1100,noURL_1,0.0
1101,noURL_1,0.05
1102,noURL_1,0.05
1103,noURL_1,0.1
1104,noURL_1,0.05
1105,noURL_1,0.05
1106,noURL_1,0.05
1107,noURL_1,0.05
1108,noURL_1,0.05
1109,noURL_1,0.05
1110,noURL_1,0.05
1111,noURL_1,0.05
1112,noURL_1,0.05
1113,noURL_1,0.05
1114,noURL_1,0.05
1115,noURL_1,0.05
1116,noURL_1,0.05
1117,noURL_1,0.05
1118,noURL_1,0.05
1119,noURL_1,0.05
1120,noURL_1,0.05
1121,noURL_1,0.05
1122,noURL_1,0.1
1123,noURL_1,0.85
1124,noURL_1,0.05
1125,noURL_1,0.05
1126,noURL_1,0.1
1127,noURL_1,0.1
1128,noURL_1,0.0
1129,noURL_1,0.1
1130,noURL_1,0.05
1131,noURL_1,0.05
1132,noURL_1,0.05
1133,noURL_1,0.0
1134,noURL_1,0.1
1135,noURL_1,0.05
1136,noURL_1,0.05
1137,noURL_1,0.05
1138,noURL_1,0.05
1139,noURL_1,0.0
1140,noURL_1,0.05
1141,noURL_1,0.05
1142,noURL_1,0.05
1143,noURL_1,0.05
1144,noURL_1,0.1
1145,noURL_1,0.05
1146,noURL_1,0.05
1147,noURL_1,0.05
1148,noURL_1,0.05
1149,noURL_1,0.85
1150,noURL_1,0.85
1151,noURL_1,0.85
